INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2019-07-22T19:00:00-00:00,2019-07-22T20:00:00-00:00,7/22/2019,13,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,-1.57197,2
2019-07-22T23:00:00-00:00,2019-07-23T00:00:00-00:00,7/22/2019,17,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,-0.04914,2
2019-07-23T02:00:00-00:00,2019-07-23T03:00:00-00:00,7/22/2019,20,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2019-07-22T09:00:00-00:00,2019-07-22T10:00:00-00:00,7/22/2019,3,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2019-07-22T10:00:00-00:00,2019-07-22T11:00:00-00:00,7/22/2019,4,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2019-07-22T11:00:00-00:00,2019-07-22T12:00:00-00:00,7/22/2019,5,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2019-07-22T13:00:00-00:00,2019-07-22T14:00:00-00:00,7/22/2019,7,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,-2.44249,2
2019-07-23T06:00:00-00:00,2019-07-23T07:00:00-00:00,7/22/2019,24,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2019-07-22T08:00:00-00:00,2019-07-22T09:00:00-00:00,7/22/2019,2,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2019-07-22T18:00:00-00:00,2019-07-22T19:00:00-00:00,7/22/2019,12,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,-0.44408,2
